sentiment,title,review
1,same battery problem as others,I have had the exact same experiance with this phone as most of the other reviewers. The only exception that I saw was that I actually did replace the battery and it didn't help. I am looking for a new phone now to replace it. Buyer beware.
1,Not the same,"Wife is saying that the product is not the same since they changed the packaging and ingredients. She has extremely curly hair and is complaining that it ""doesn't hold the way it used to"""
2,Not bad for the price,Works great and sounds good. If anyone needs an external card like me who doesn't have an extra pci slot to spare this is definately the way to go.
1,Defective,I opened up the package and one of the rings fell out. After looking at the tarp I found that one of the rings was ripped off. Poor quality control.I now wish I had opened the package sooner so that I could have gotten a replacement for it. My own fault obviously (Lesson learned).I do not think I would buy another one from this maker.I took a spare rope and ran it through all the remaining rings and am using it to cover my log rack. Now I just need to find a higher quality one to replace what this one was to be used for.
1,arbogast weedless jitterbug,I too ordered the weedless jitterbug pictured here... I too was sent the WRONG item... the item sent was NOT a weedless jitterbug... it was a muskie size jitterbug with treble hooks on the side and a treble hook on the back... nothing weedless about it at all... I would recommend you NOT buy it unless you want the muskie size regular jitterbug...because that is what you'll get
2,Above All Others,"John Williams, David Russell, Christopher Parkening, Julian Bream, et. al. all owe a great deal to this now departed giant. If you own ANY classical guitar recordings, you should purchase this collection. It's not only the finest remastering available, but an equisitely fine selection of Segovia's contribution to the genre and the art."
2,Works great with Zaurus,"I wanted a CompactFlash Ethernet card for my Sharp Zaurus (the SL-5500), and this was the cheapest one I could find. It wasn't listed on Sharp's compatibility list, but I saw someone online had mentioned that it had worked for them, so I gave it a try. Plugged it in, configured it in Network & Sync, and it worked right away. (This isn't actually surprising, of course; CompactFlash is just miniaturized PCMCIA, and Linux has great PCMCIA Ethernet support.) Makes a huge difference in installing software; I can use the ""Install from Network"" button in ""Add/Remove Software"" to download from package feeds, or use the browser to download package files that aren't available in feeds.This is with version 2.0.37 of the Zaurus ROM, the one that came preinstalled.Now if only I can convince my wife to let me put an Ethernet drop in the bedroom. :-)"
1,"Greek music is excellent. The ""other"" is very ordinary","I ordered this album for its excellent original greek music.Unfortunately, de rest of the music (ordinary film music) is not worth a cent."
1,worst article descriptions,forget about it. the descriptions of the articles are so hopeless that subscribing is futile. i am going to give up on the free trial.
1,"Sedaris is Great, But Definitely NOT UNABRIDGED","Let me explain my rating. For Sedaris' work, 5 stars plus. My problem is with Amazon listing this as ""Unabridged"". It is not--it is significantly abridged. What is here is great, as you might expect, but some of my favorites are missing (such as ""We Get Along"" from Barrel Fever). Funny thing is, nowhere on the item itself does the word ""unabridged"" appear. Why then does Amazon list it as ""unabridged""? Not good--makes me wonder about their other descriptions. Buy it if you love Sedaris, but don't expect everything to be on these recordings."
1,"Looks good, relatively comfortable, but flimsy","The first thing I noticed about this helmet was its cheap construction. The plastic shell feels flimsy and plastic trim pieces feel like they could very easily be ripped off. The construction is not solid enough to inspire much confidence in safety. Even for just $80, I feel like I've been ripped off."
2,STUDENTS: BEWARE THE ANNOTATED INSTRUCTOR'S VERSION,"This regular version is the one you want.The instructor's version can actually be bought for much cheaper (but is not at all appropriate for the student), and it appears that someone in Salem, OR has bought a huge load of the instructor's version and is NOT making it clear that they are NOT the same thing as the student version. Therefore, he/she/they are selling them for $36 and up and making it look like that's a deal when it appears to me you can actually find the instructor's version for $7.99 and up.Make sure to read the fine print. Look carefully for the words ""instructor"" and ""annotated"" and don't by the book unless you are looking for that version...in which case you can get it cheaper elsewhere, anyway. (Do a search her for ""intermediate algebra annotated tobey"" and you will see the lower price ranges on the instructor version.)He/she/they are selling them all over the internet and sending them from Salem, OR."
2,"Funny, sexy, and realistic","When Bull Durham came out, it set the gold standard for baseball movies. The funny thing about it, though, is even if you are not a baseball fan, this is a movie to see. The writing, the direction, and the acting all are top notch in this movie, which is funny and tocuhing. Susan Sarandon is stunning and may have turned in the years best performance as a ""baseball Annie"" with both looks and a brain. Kevin Costner and Tim Robbins are great and the supporting cast is terrific. The DVD is wonderful, with good colors and delightful extras. The commentary with Costner and Robbins is a lot of fun. This is one DVD that will be a great addition to anyone's collection."
1,These are the small gumballs ...,"Be aware these gumballs are the small ones. Half of the machines Amazon has matched to them are for the large gumballs.'TheNewMall' that sells these is aware of this fact, but will not issue a return once you order them.Until Amazon fixes the problem and finds a more honest vendor, be aware of what your getting.At the current price, even if your looking for the small ones, your not getting much for your money."
1,Disappointed,"I have read several of Sharon Shinn's books and found them entertaining. This one was not. I read all the reviews about the great love story the book was; I never found that to be true. The story skated around Gabriel and Rachel constantly with little if any interaction between the two for most of the book. When were together, they fought. I realize there's the popular antagonist views many writers use in romantic novels, yet this was so overused that I liked neither of the characters and could see how they didn't like each other. I particularly did not like Rachel, the main female character."
2,Fantastic Book,"I chose this book from several options for a class. Tovani has insight into what stands in the way of students' reading comprehension and useful strategies for how to prevent ""fake reading"". Best of all, though, Tovani uses examples as 'models' for how to put her strategies into action in a classroom and what response to expect when you do."
2,Great season!,This season had some of the best remembered and fun episodes! The music box drama featuring Laura being forced to turn on her stuttering friend (that Nellie Oleson was such a fun brat!) to Pa mining the liquid dynamite to lil Carrie falling down a well (if only they had left her!). Probably the most famous id the episode dealing with Solomon (Todd Bridges) and his struggle for racial equality. Very much a tear jerker and always good for a self-indulgent catharsis of tears.
2,it rolls,well this is a real great buy for any one deep into trance and cant get enough of it . since this is a 4 cd album its pretty good as you can put it on and relax and let the music take you thru different worlds.
2,Not Happy,"I like all three Black and Decker 18v tools but not the company.I own a; grass hog, chain saw and hedge cutter. I like all three. i wish the grass hog had a little more power but I like its portability; it's a trade off. However two batteries have developed cracks in their casing. I called their customer no-service. I told the rep this was a hazard they turned me over to the supervisor who didn't care a bit. I was told to travel over 60 miles to a service center ""so they could look at it"". I gave them the serial numbers, approx date of purchase no help. Two items were bought on Amazon."
2,A good find. A great buy,"I bought this watch about a year ago and I will admit it was because of Stranger Than Fiction. I was contemplating purchasing a more expensive swiss made watch but I feel this has been a great buy. Very accurate and solid feeling. For about 90 bucks, you can't beat it. My only gripe is the beep is very soft, so don't plan to use this as an alarm. Functional and stylish. You can display 2 time zones on the LCD. You also can turn the LCD display off to use less battery and appear a little more ""formal."""
2,Willie plays blues with a twinkle in his eye,"This album not only sounds good, it feels good. The mood is one of easy contentment, with the songs sounding well-traveled and the lyrics, while true Blues, having just enough humor for a fun, upbeat listen. The solo guitar and keyboard work, of which there's plenty here to savor, is mature and satisfying. Not one note of it sounded like less than the real Blues thing and I'll be keeping this album and listening to it a lot.I'd really rather give it 4 1/2 stars if I could though, because of the inclusion of Susan Tedeschi, who sounds positively amateurish alternating verses with Willie on ""Crazy."" (Of course, I really don't like her singing, so if you do, discount that last point.) A couple of the other guests could maybe have had a little more than one verse to sing too. But B.B. King's appearances here are good and 4 stars wouldn't have done this CD justice."
2,Very good!,Im using this bed rail as a headboard for my dorm room bed so my pillows dont fall off. It works perfectly! It is the perfect size and isn't too high that is seperates the room. I'm glad i got it
1,"Service is fine, product isn't.","It may just be that my belly button is small, but the piercing stuck out waaaay too far. I would only suggest this if you have a deep innie."
1,It doesn't work,"I purchased the product based on the high reviews it had gotten. I followed the instructions to the last letter hoping to be rid of the urine smell. However, after hours of cleaning and to my dismay, I realized that the smell was still very potent and my cat went right back to the spot to urinate. I wasted my money for nothing."
1,cracked and loose lid...,"Although my chinchilla really enjoys his ball--he goes like crazy all over the family room banging into things and chasing our cat. However, because the plastic is weak, the lid fits very loosely and my 'chilla bangs into everything, the lid came off (even with scotch tape reinforcement) and our family room became Wild Kingdom as the 'chilla was loose and our cat was on the chase. Everyone survived the excitement and now the lid gets reinforced with packing tape when he wants to run about. I haven't had much luck finding another design or manufacturer with a better quality product."
1,Horrible Camera,"My daughter received this camera as a gift. Too bad a gift receipt wasn't included, because I definitely would have returned it on Day 1. The camera constantly freezes, drains its batteries, and the screen resolution is of horrible quality, where you can't even tell what the image is. I did not print any pictures, so I cannot speak to that, but please do not buy this camera. You're better off buying a cheap adult digital camera."
2,Great book for any beginning investor,"I really liked this book because it started where it should have--at the beginning. It takes the reader through a good , if somewhat lengthy, history of how capitalism began. It then takes the reader through Wall Street and gives them some basic advice on what to do with their money. This is a great book for high school kids who are starting their first job and need advice on how to manage it (I should know, since I fit that description). Anyone who is interested in investing or even making money should read this book."
1,Disappointingly Bland,"Jody Lynn Nye is a normally talented, wonderful author. Her books are a fun read. This was the exception, and the sequel isn't much better. The book meandered through Dreamland, and seems as if it is a poorly designed take-off of Neverending Story (the movie, not the book). It is confusing, with numerous 'save the day' rescues by Roan and his crew. Stick with other of Ms. Nye's works, and avoid this one!"
1,Moderately entertaining but bad ending,"Started off pretty good with a lot of suspense and kept me wanting to read it, but during the last quarter it just dies. The ending is one of the worst I've ever read, but the fact that during the last quarter of the book you can TELL it's going to be a bad ending just ruins it.Seems like the author just got tired of writing and cut it short by a hundred pages or so as there's never any military or saving of the world like the books description says.The first 3 quarters of the book were good, and it had an interesting concept but I have to give it a 2 because of the sudden ending that left me feeling disapointed."
2,"Nice, just what I wanted",The words of Jesus presented in several formats.... I just wanted to have the red words all in one book and this one suits me just fine!
2,Too cute!,My daughter absolutely loves this book and as someone who got a bunny for my eight birthday it is too cute to watch her look at the pictures.
2,LIGHTS!,I don't use it for gaming but so far (1 month) the performance has been impressive. I like the adjustment for light intemsity. Amazon delivered it quickly and efficiently.
2,What a game!!!!,I just finished this game yesterday. While I was playing the game I was quite scared playing it (as usual). This game is really good. The ending was starting out a little surprising from a guest but overall it was good. I really like the battle game at the end after you finish the game. I would recommend this game to anyone.
2,Good Read.,What's there not to like about Virginia Woolf's writings. She writes well. Her book To the Lighthouse is required college reading. I love all her stories.
1,Very poor quality of sound.,"This SACD is not a product of authentic SACD using DSD recording devise. Theresultant sound quality is not of that of true SACD. The most eminent is thepoor dynamic range. I does not recommend this 'fake' SACD, and genarally warn SACD's that does not guarantee DSD technique at recording sessions* bacause non-authentic SACD making is always at danger of poor sound quality.* Analog tapes as original source is OK. They can be readily converted to DSD source, thereby producing the highest quality of SACD."
1,One more example of erroneous collectivist thinking,"The thrust of this book is that the government doesn't take care of the family unit in America anymore resulting in all of the societal problems that pressure families. On the contrary, the extremely irresponsible manner in which parents are now raising kids has more to do with societies problems than just about any factor. It is all part of the liberal collectivist sophistry that the average, unthinking American buys into so readily. If you hold reason and intellect as important ideals, this one will either give you a good laugh or bring on a bout of anger."
2,Provides the words and experiences of ordinary citizens,"In 1826 Americans remembered and celebrated fifty years of independence with parades and speeches. America's Jubilee uses private diaries, letters, newspapers and publications to reveal the personal lives behind the pageantry and celebrations, and the survivors of the War of Independence. Chapters provide the words and experiences of ordinary citizens."
2,Awesome indulgences.,"This series has all the awesome indulgences you could ever wish for. Blood, sex, fighting, sex, blood, sex, arenas, sex, more blood, more sex, realistic fighting, realistic sex ... and an enticing and exciting storyline to go with it. What more can one ask for? This blows character-driven movies - you know, the ones with stupid people doing stupid things so the storyline writers have something to write about - out of the water. This is EXCITING and it moves as if it has a life of its own."
1,SHOULD BE PRESENTED UNABRIDGED!,TO MUCH IS LEFT OUT IN THE ABRIDGED. IT REALLY NEEDS TO BE PRESENTED IN UNABRIDGED. I HAVE BEEN TOLD BY PUBLISHERS THAT WILL NOT HAPPEN BECAUSE THE PEOPLE THAT HAVE THE RIGHTS WILL NOT RELEASE THEM. THAT IS NOT RIGHT TO THOSE OF USE WHO A WAIT THE UNABRIDGED STORY.
1,Don't waste your money,This is the worst workout tape i have ever laid eyes upon. The instructor goes way too fast and doesn't give info on how to do the steps. What he does best is moves his hips as shown in the warm up and cool down. It made me wonder if i was watching an exercise tape or a porno. The only person who benefits from the tape is M.C. Cash. His dancers are tired out and the viewer is too confused to actually do anything but watch them. This video is not worth 2.00. I beg you please do not waste your money on this sorry excuse of a workout video.
2,Good Switch with circut breaker attached,Needed a headlite switch for a buggy project and this one worked great. Nice to have the circut protection already mounted.
1,Wrong item!,"I was sent the wrong item. Unfortunately, the merchant didn't have the charger on the picture and my phones remain dead."
2,"BUY this book, early","I found this book quite by accident while looking for something to read at Borders. I was diagnosed as bipolar about a year ago. But in the previous two yearsfore diagnosis, I wrecked my marriage, my finances, was suicidal, and almost bankrupted my company. With medication, good support around me, i am doing much better. Most bipolar people do not think anything is wrong, only that people around them are distressed. My advantage (disadvantage) is that my Dad also developed the disease at midlife and so I know i have the same thing, and that all things i do or say do not always make sense.I honestly believe that having this book earlier in my condition and having a spouse who used the techniques described, would have saved my marriage and finances."
2,Anti-American?,"How is this Anti-American? You numbskull? Bindly following a corrupt government that is lying to you is anti American. This is the most American movie I've seen in years, its an absolute shame on our corporate controlled media that the topics this film covers are even controversial! 20 years ago, this would have been on 60 minutes. Today anyone in the media who questions our government is CANNED. How American is that? They had to fight, and band independant studios together even to get this movie on the screen! Wake up. America is being stolen from the good people who fought and died to create and defend it, by unscrupulous scum like Bush. Its time to wake up to that. If you love America, you cant turn your back on that."
2,Uplifting music with a positive message,"Its so nice to have music with a ""great beat"" to it, and that is both positive & uplifting! My kids even think it's cool to listen to!"
2,The absolute best product,My daughter stop sucking her thumb the moment I put it on and she would ask to paint her nails everyday so I would say it worked in an instant with only a minimum of discomfort she had completely stopped with compaining and all in 3 days. I have since stopped using the product and she has not started the habit back up again. I would recommend thus product 20 times over to any and everyone.
1,POS locks,"I have had two of these for the last 4 years. One failed almost immediately, but Kwikset sent me replacement keypad and I had to pay a lock smith again to install it. Now the other lock failed on me. The motor that turns the bolt wont work. Kwikset wont help me and cant even manage to figure out the problem.My Master Locksmith said these are a P.O.S. and to buy the Schlage keylees as it doesnt have a motor to fail.I would give these ""0"" Stars but it wont allow me."
2,"don't listen to these competitor's reviews, it's terrific!","This is a fantastic mouse. no problems with the battery door at all, I think it's very solid and well designed considering the tiny size of the mouse. It's comfy to hold, nice finish. Buttons are great feeling, as is the wheel. I like the on-off switch, wish my Logitech wireless mouse for my home pc had this feature.Only negative is that the wheel moves more than one ""wheel click amount"" for each physcial click, so it scrolls faster and less consistently than it is supposed to. However that's the smallest problem, and only problem I can find.I'm very happy with this purchase. Nice little carrying pouch as well, and a nice usb extension if needed."
1,Definitely wouldn't buy it again,"I ended up not even using this calendar. The drawings and information felt like it came from a textbook in 1970. It looked like something my mom would've used as a teenager. Besides that, it just came with some useful, but unnecessary stickers. Wouldn't buy it again."
2,Husband loved this.,"Again, Rainbow Bibles are a little difficult to find but my husband was very pleased with the quality and Amazon came through for me again."
2,Owned it for several months.,"I've owned it for several months. Although it is made in China, so far so good. I did buy an extended warranty from SquareTrade though because I don't want to pay for shipping even during the standard warranty period.It occupies a lot of space, but it think it is worth it. Of course it is not suitable for a small room such as an office or a bedroom, unless such a room is more than 12' x 12'.I am not a connoisseur of subwoofers, but it seems to me that this one produces somewhat softer sound which is good for movies but perhaps will not excite you if are buying it primarily for heavy metal, but of course, it is a subjective perception."
1,To Follow Michael Acuna's Review Is One Big Challenge!,"Although I totally disagree with his descriptive adjectives over earlier, Michael Caine...that Jude Law's version of Alfie is all three: ""watered-down, scrubbed and sanitized"" gigolo/playboy in relating to healthy Lassies, Sienna, Marisa & Susan, it appears to me that each one used him in widely divergent ways!I cannot agree with any reviewer that Jude Law remotely fulfills his ""sanitized, scrubbed, watered-down"" idea of this obsessive, compulsive character; Even with an over-healthy, wealthy, Susan Sarandon! In fact, his escapades left me unimpressed, under-sea, at-odds with Director Shyer's Movie! Enough...an older retired, Chaplain Fred W Hood"
2,My 1st Cookbook,My mom got me this cookbook when I first moved out into my own apartment. I had no idea how to learn to cook for myself- Taco Bell and Wendy's were the equivilant of a hot meal. I couldn't believe how easy these recipes were to follow! This book saved my life (and my figure!) and I would recommend it to any first time cook.
2,"Monster, Kody Scott",This book gives great insight to what it was to been a young man growing up in the gangs of LA. This book has made me so thankful that I did not grow up in LA during those times. Young men were put in terrible situations in which tough decisions had to be made. Hopefully many will learn and choose a better life. Life without daily shooting and death.
2,Adorable!,"I bought this phone for myself because I love Hello Kitty. I figure, I'll hand it down to my daughters (maybe..lol) when they are old enough. This phone has caller Id and the wings light up when it rings. It is very well made."
1,IOGear USB Hard Drive,Problem with this drive. It does not work with a standard USB cable included. Must have a Y cable that was sent to me after several calls to IOGear's tech support. It took a return and 30 days to get this product to work. After that it is working fine! Good luck!John...
1,Disappointed,"The pacing is uneven. I'm sorry to say that the reliance on co-authors to do so much of the work for Patterson is causing his books to suffer.Although I appreciate the use of San Francisco for the locale, the geographic inaccuracies are jarring. Frankly, the research is sloppy and I wonder if the co-authors have even been to San Francisco. Lindsay Boxer meets Yuko and Keiko in front of Union Square, but by no means is this ""out by the Golden Gate Panhandle."" In another section, the Hotel Triton can't be fronting Union Square steps away from the cable car line and also be across the street from Chinatown. Sloppy, very sloppy. Reading this is like watching Dustin Hoffman drive on the Bay Bridge the wrong way in The Graduate on his way to Berkeley."
2,Washington Irving meets George Washington,"This book is tedious. But it's tedious to read because of the eloquence and artistic value of Irving's pen. He writes like we don't speak any more, but the material is beautiful to read, and the substance of which he writes is eye-opening. I never realized what Washington had to deal with as he started his assignment to lead in the Revolutionary War. Hair-raising stuff. And written so beautifully."
1,On What Grounds,Not one of my favorite mysteries. Appears that the author is attempting to imitate the Laura Childs' tea shop series and has fallen short.
1,Worst textbook that I have ever had in my College life,"This book is the worst book that my professor has ever chose for my math class. The definitions and theorems in this book has lack of explanations, and there are very few examples. But also the solutions of the examples doesn't make sense at all(especially on chapter 3). I want to tell my professor not to get this book for students in future. I really hate this book."
1,New Age story telling,"I expected this book to be about what people felt were supernatural interventions in their lives for safety, etc., but it turned out to be more New Age philosophy."
2,Different but good!,"A really different show that will rock your world with its twisty storyline and great editing. I didn't expect much when I bought this but I like scary stuff. It proved to be so much more than just another ""horror"" story."
2,A great CD.,"First of all, I just read a review of this on this site that said ""Manson is so obviously gay, just look at the cover"" oh well gee what kind of, (I can't say anything bad here can I) piece of trash are you. He's into gay, and if he were why would it matter. Nor does he worship Satan, just becasue he hates Christianity does NOT NOT NOT mean that he worships Satan. Now onto the music, I think this is one of his best albums. I don't blame him for going more pop, and changing himself considering he had a nervous breakdown after the making of Antichrist Superstar. One would think that The Dope Show and I don't Like The drugs are the best songs since they are th single, but I don't think so. Buy the album and you won't be sorry, maybe he isn't being to to true to his real goth obbsessed fans but like I said if he kept going in the direction he was he'd be dead by now probably."
1,worst office product I've ever wasted my money on,"This product is so bad it really doesn't rate the one star I gave it.BIC Wite-Out Correction Tape, 2 TapesI bought multiple boxes of this product because it was at a good price. Not a single one of the dispensers lasted. The takeup reel does not function at all, so you are stuck with having to deal with it hanging from the dispenser. The white out doesn't stick half the time, so you have to keep reeling out more and more.In short...the product sucks period."
2,I love these old cartoons,I remember watching these cartoons when I was a kid. They are actually still fun to watch although very predictable. Good memories.
2,Rediscovered a Classic,"I, like another reviewer here, grew up listening to this. It was on tape and my mother would play it on lazy weekend mornings in the kitchen while cooking brunch. I also remember being fascinated with the cover art.I just recently heard ""Celestial Soda Pop"" on Public Television as background music for a travel show and it took me back to those peaceful mornings. This music just seems to transport the soul and help create memories. It's wonderful."
1,Bad listing,This product was listed in the LPs section (meaning on vinyl). When I received it it was a CD. Bad job on Amazon's part not putting products where they should be.
2,Covered most of the gray,I had okay results with this product. I have thick hair so I think two boxes would work better for me if I use this product again. I also wish more conditioner was in the box. I needed more so I had to use some I already had on hand. My hair was a bit dry after using this product so not sure if I would buy this product again.
1,A real turkey,"Fortunately, I borrowed this DVD from my local library. I like Sidney Poitier and saw River Phoenix in ""The Mosquito Coast"" years ago, so I thought the teaming of the two actors would be wonderful. I like stories of espionage and intrigue as well. This film, however, was a huge disappointment. I wasn't for one moment convinced that Jeff's parents were Russian spies, that Sidney Poitier was an FBI agent or that the older Russian guy was a real threat. In addition, River Phoenix's character isn't very likable and it's so obvious that River Phoenix is acting. The plot is choppy and there are very few suspenseful scenes or thrills (I don't consider a car chase scene a thrill). Not recommended at all."
2,arnold jacobs,"This cd tries to capture arnold jacobs: a prolific teacher, player and above all a great man. while listening, you'll discover the ideals, the methods and ideas that made arnold jacobs the best tuba player that there'll probably ever be. The more complex issues and artistry of brass playing are explained in simple words and sayings. a great deal of jacobs' lectures is also given, and you can also see the importance of understanding the functioning of other body units that help us trough our playing (the brain). a great disc, highly recommended, not only for tuba players, but for all brass players."
2,This is only the beginning,"Being a Marvel Fan, i understood, unlike others, that this was only telling the beginning of the story. I liked it and looking forward to the next one."
2,when the band you're in starts playing different tunes. . .,"Really fascinating patchwork of papers -- should inspire you to read the equally thought-provoking autism narratives of Temple Grandin and Donna Williams -- not to mention Uta's own AUTISM: EXPLAINING THE ENIGMA and possibly AN ANTHROPOLOGIST ON MARS, by Oliver Sacks. This book opens up some interesting questions about the nature of genius (to explore at your own risk) and on the level of pure entertainment, offers some very funny anecdotes. My only qualm: Asperger syndrome, like ADD, has an insanely high potential for misdiagnosis. What is the difference between someone with a genuine Social Disability and someone who perhaps has simply read too much Ayn Rand at an impressionable age?"
1,an attempted jazz recording,"Not sure what to say about this. I've made the mistake of acquiring some jazz records with recomendation - this being one of them. A mistake for certain. I'm not very aware of the bands other recordings, although they appear to be more swing oriented - so I passed. This record looked inviting, but sounds like a third rate, quickly thrown together set of average high school band geeks attempting to pass off some poorly executed jazz covers. Completley incomplete, this record lacks even a hint of sophisticated muscianship. I wholeheartedly recomend exploring other jazz records before settling here."
1,"Okay, but a bit over the top","It's a good book with a strong point, but the message grows tiresome. Practically everything is a potential security weakness to this guy. If you lock the doors, he warns about the windows. If you encase your house in concrete, I'm sure he could find some concrete eating bacterium from the jungle. It grows a bit tiresome.I'm a bit surprised that he's actually in the security business. How can he hold such views and actually make recommendations to clients? Does he say, ""Gosh this solution is terribly dangerous, but it's not as dangerous as the other solutions?""Plus, he's obviously a bit out of touch. He says that steganography can't work because no one ever sends him a picture. Heck, I get pictures from my family members all of the time. What's wrong with him?It's not a bad book, but it's a bit too much."
2,"Tom Hanks, You're no Jim Carrey","and i'm greatful for that...one of the few comics who was able to make the successful transition to dramatic actor. denzel is excellent as hank's lawyer who comes to term's with his latent homophobia...my favorite scene in the movie is when hanks goes into diva mode describing a opera piece sung by maria callas. i have the song on a c.d. somewhere. hanks probably gave an even better performance when he gave his best actor oscar acceptance speech, thanking a high school teacher who was gay. so emotional."
1,just okay,This product is not great. It is a really small quantity for the price. It does go on your face smoothly and feels silky but it does not really add anything to my face care process. I finished the lotion and moved onto a different one and had no change in how my face feels or looks. I think you can get a better product for less money elsewhere.
2,effective but not convenient,"It cleans ok, but doesn't produce lots of buddles during the cleaning. The thing I don't like is that it's hard to carry it around when I go to public laundry houses. Sometimes I put it in a bag and sometimes a plastic box; when I transfer the power out, it spills all over my bathroom. It's just not convenient enough!"
2,Great Addition for Harry Potter Fans,Very useful for finding out about Hermione's cat Crookshanks!!!
1,An example of self-hatred and internalized homophobia,"This book should insult any gay man who considers himself to be an intellectual. Full of faulty logic, purple prose, gross generalizations, and accounts of Browning's crusing experiences, the textoffers a disturbing, degrading picture of homosexuality. Despite a section on the works of Michel Foucault, the text demonstrates no knowledge of political ontology; also, the text avoids mentioning the works of Eve Kosofsky Sedgwick and David Halperin, but it posits Camille Paglia as an intellectual diety--look out! The correlation between coming out and becoming ""born again"" just doesn't work: the former is an outward, social/public event, and the latter is an inward, spiritual one. Nonetheless, the cover of the book reproduces a beautifu, homoeroticl print by Paul Cadmus."
1,Don't waste your time and money!,"This is a worst book about women that I have ever red. Instead buy ""How to Succeed With Women"" by Ron Louis, David Copeland."
1,Skip this - Buy something else,"After playing it maybe 5 times, the screen went out and all you get now is sound. Not recommended."
1,Fun for one season,The kids had lots of fun on it for the first season. Took it out this season and it will not hold air and is coming apart at the seams. I reported this to toyquest.com and am waiting for them to respond.
2,love the scenery created,"The charectors are interesting and I love the images/scenery described. Ive heard it may become a movie which would be great, but I really hope they change the ending if so. Hated the way it ended for the lead."
2,Much nicer than the photo,"The photo for this item is washed out and displays the toy with curled, distorted ""wings"" -- the actual item is has smooth wings and the orangy-red coloration on the sides of the head is nice and bright. The material it's made from is silky and the whole item appears well-made."
2,Nice movie,"This is a typical nice Doris Day movie. It's a movie about the little guy fighting the big guy. Doris Day being the little small business owner, who happens to ship lobsters. It's not a serious social statement type film, has some laughs. Doris Day is as good as she is in any of her films. I bought this film for my mother who likes to watch older musicals and comedy films. She liked it."
1,Worthless Crap!,"Do NOT buy Excalibur or ""Forever Flashlights"" unless you want to waste your money. I too was lured by the idea of saving money on batteries and lightbulbs. And I was also impressed by the ""Forever"" title, which gave me the impression of a life-long product. Well just within a year after buying one it no longer works the way it's supposed to. Shake it, push the button, and no light. But shake it while the button is in the on position and the light will flicker on and off like a strobe light! That was kinda fun for about 7 seconds. So, the capacitor stopped holding the charge. For those who don't know, a capicator is just a battery. Now it's a useless, ugly paperweight, soon to be landfill crap. This thing is made rugged though, so it should last about a million years in a landfill!! :("
1,Ship of foolishness.,"I just don't get it. The production team behind DARK CASTLE films are reputable movie makers, however, so far all three of their flicks fail to do anything but produce lots of eye rolling. As with HOUSE ON HAUNTD HILL and THIRTEEN GHOSTS, GHOST SHIP starts out great, then falters. Great production values and decent premises are there, but all three films progress into either the absurd, or are just muttled by a confused plot or lack there of. Lowest common denominator movie watching especially for fans of the genere. Pretty much before GHOST SHIP left port, it sunk."
